FECHA;TORNEO;MODALIDAD;VER
02/04/2026;RODRIGUEZ CAMPOS INMOBILIARIA;Medal;Ver
28/03/2026;VETERANOS OK - 28/03/26;Four Ball Americana;Ver
24/03/2026;MANNER - 24/03/26;Medal;Ver
21/03/2026;MANNER - 21/03/26;Medal;Ver
20/03/2026;JUNIOR HOYO 10 - 20/03/26;Medal 9 Hoyos- Medal 9 Hoyos;Ver
19/03/2026;JUEVES - 19/03/26;Medal;Ver
15/03/2026;JUNIOR HOYO 1;Medal 9 Hoyos- Medal 9 Hoyos;Ver
15/03/2026;JUNIOR HOYO 10 - 15/03/26;Medal 9 Hoyos- Medal 9 Hoyos;Ver
12/03/2026;JUEVES - 12/03/26;Medal;Ver
11/03/2026;MIERCOLES - 11/03/26;Medal;Ver
10/03/2026;MARTES - 10/03/26;Medal;Ver
08/03/2026;ULTIMOS 18 HOYOS / CONCOR TEX;Medal;Ver
07/03/2026;APERTURA / CONCOR TEX - 07/03/26;Medal;Ver
05/03/2026;JUEVES - 05/03/26;Medal;Ver
28/02/2026;3° FECHA SURCAR / BELLO EXPORT;Medal;Ver
26/02/2026;JUEVES - 26/02/26;Medal;Ver
25/02/2026;MIERCOLES - 25/02/26;Medal;Ver
21/02/2026;2° FECHA SURCAR / BELLO SPORT;Medal;Ver
18/02/2026;MIERCOLES - 18/02/26;Medal;Ver
17/02/2026;CARNAVAL / 2° FECHA;Medal;Ver
16/02/2026;CARNAVAL - 16/02/26;Medal;Ver
14/02/2026;1° FECHA SURCAR / BELLO SPORT;Medal;Ver
13/02/2026;VIERNES - 13/02/26;Medal;Ver
11/02/2026;MIERCOLES - 11/02/26;Medal;Ver
10/02/2026;MARTES - 10/02/26;Medal;Ver
07/02/2026;58° FESTIVAL DE PEÑAS;Medal;Ver
05/02/2026;JUEVES - 05/02/26;Medal;Ver
04/02/2026;MIERCOLES - 04/02/26;Medal;Ver
03/02/2026;MARTES - 03/02/26;Medal;Ver
31/01/2026;3° FECHA RECORRIDO PEÑERO;Medal;Ver
29/01/2026;JUEVES - 29/01/26;Medal;Ver
25/01/2026;JOAQUIN GOLF;Medal;Ver
24/01/2026;2° FECHA RECORRIDO PEÑERO;Medal;Ver
17/01/2026;RECORRIDO PEÑERO;Medal;Ver
11/01/2026;DOMINGO - 11/01/26;Medal;Ver
10/01/2026;BINCENTENARIO V.N;Medal;Ver
08/01/2026;JUEVES - 08/01/26;Medal;Ver
03/01/2026;BICENTENARIO VILLA NUEVA 1826 / 2026;Medal;Ver
02/01/2026;VIERNES - 02/01/26;Medal;Ver
