ID;FECHA;TORNEO;MODALIDAD
1775251393;2026-04-04;RODRIGUEZ CAMPOS INMOBILIARIA;MEDAL
-205933359;2026-04-02;RODRIGUEZ CAMPOS INMOBILIARIA;MEDAL
1774563777;2026-03-28;VETERANOS OK - 28/03/26;FOUR BALL AMERICANA
1774144206;2026-03-24;MANNER - 24/03/26;MEDAL
-1315509700;2026-03-21;MANNER - 21/03/26;MEDAL
305523102;2026-03-20;JUNIOR HOYO 10 - 20/03/26;MEDAL 9 HOYOS- MEDAL 9 HOYOS
1773939927;2026-03-19;JUEVES - 19/03/26;MEDAL
257633252;2026-03-15;JUNIOR HOYO 1;MEDAL 9 HOYOS- MEDAL 9 HOYOS
1910839609;2026-03-12;JUEVES - 12/03/26;MEDAL
1773251496;2026-03-11;MIERCOLES - 11/03/26;MEDAL
1773165815;2026-03-10;MARTES - 10/03/26;MEDAL
1773420173;2026-03-08;ULTIMOS 18 HOYOS / CONCOR TEX;MEDAL
1772754586;2026-03-07;APERTURA / CONCOR TEX - 07/03/26;MEDAL
1772729358;2026-03-05;JUEVES - 05/03/26;MEDAL
-2103642459;2026-02-28;3° FECHA SURCAR / BELLO EXPORT;MEDAL
-1213148236;2026-02-26;JUEVES - 26/02/26;MEDAL
1772055900;2026-02-25;MIERCOLES - 25/02/26;MEDAL
-2028354899;2026-02-21;2° FECHA SURCAR / BELLO SPORT;MEDAL
999725653;2026-02-17;CARNAVAL / 2° FECHA;MEDAL
1771110459;2026-02-16;CARNAVAL - 16/02/26;MEDAL
-499958798;2026-02-14;1° FECHA SURCAR / BELLO SPORT;MEDAL
1771004196;2026-02-13;VIERNES - 13/02/26;MEDAL
743328744;2026-02-11;MIERCOLES - 11/02/26;MEDAL
1192894610;2026-02-10;MARTES - 10/02/26;MEDAL
-1020069011;2026-02-07;58° FESTIVAL DE PEÑAS;MEDAL
1770312162;2026-02-05;JUEVES - 05/02/26;MEDAL
238808736;2026-02-04;MIERCOLES - 04/02/26;MEDAL
-832297570;2026-02-03;MARTES - 03/02/26;MEDAL
-1986765651;2026-01-31;3° FECHA RECORRIDO PEÑERO;MEDAL
1769979070;2026-01-29;JUEVES - 29/01/26;MEDAL
1242244265;2026-01-25;JOAQUIN GOLF;MEDAL
-2123922823;2026-01-24;2° FECHA RECORRIDO PEÑERO;MEDAL
1768592304;2026-01-17;RECORRIDO PEÑERO;MEDAL
-1272557024;2026-01-11;DOMINGO - 11/01/26;MEDAL
2104196010;2026-01-10;BINCENTENARIO V.N;MEDAL
1767893125;2026-01-08;JUEVES - 08/01/26;MEDAL
1493648760;2026-01-03;BICENTENARIO VILLA NUEVA 1826 / 2026;MEDAL
-634010123;2025-12-30;MARTES - 30/12/25;MEDAL
1766595920;2025-12-27;PEDROLGA/CERTUS;MEDAL
-779008219;2025-12-20;365 SEGURIDAD;MEDAL
1765499551;2025-12-13;MANAGRO - 13/12/25;MEDAL
1765076204;2025-12-08;CAPITAN / PRESIDENTE - 08/12/25;MEDAL
